dateTime,PhiS
2017-01-01T00:00:00Z,49.88999938964844
2017-01-01T01:00:00Z,49.88999938964844
2017-01-01T02:00:00Z,49.89999771118164
2017-01-01T03:00:00Z,49.89999771118164
2017-01-01T04:00:00Z,49.97999954223633
2017-01-01T05:00:00Z,50.04999923706055
2017-01-01T06:00:00Z,50.12999725341797
2017-01-01T07:00:00Z,50.119998931884766
2017-01-01T08:00:00Z,50.11000061035156
2017-01-01T09:00:00Z,50.09000015258789
2017-01-01T10:00:00Z,50.07999801635742
2017-01-01T11:00:00Z,50.06999969482422
2017-01-01T12:00:00Z,50.05999755859375
2017-01-01T13:00:00Z,50.04999923706055
2017-01-01T14:00:00Z,50.03999710083008
2017-01-01T15:00:00Z,50.029998779296875
2017-01-01T16:00:00Z,50.09000015258789
2017-01-01T17:00:00Z,50.14999771118164
2017-01-01T18:00:00Z,50.20000076293945
2017-01-01T19:00:00Z,50.18000030517578
2017-01-01T20:00:00Z,50.14999771118164
2017-01-01T21:00:00Z,50.12999725341797
2017-01-01T22:00:00Z,50.11000061035156
2017-01-01T23:00:00Z,50.07999801635742
