dateTime,ACond
2017-01-01T00:00:00Z,0.025100000202655792
2017-01-01T01:00:00Z,0.02369999885559082
2017-01-01T02:00:00Z,0.02239999920129776
2017-01-01T03:00:00Z,0.020999999716877937
2017-01-01T04:00:00Z,0.019199999049305916
2017-01-01T05:00:00Z,0.01730000041425228
2017-01-01T06:00:00Z,0.015399999916553497
2017-01-01T07:00:00Z,0.014099999330937862
2017-01-01T08:00:00Z,0.012899999506771564
2017-01-01T09:00:00Z,0.011699999682605267
2017-01-01T10:00:00Z,0.010400000028312206
2017-01-01T11:00:00Z,0.009099999442696571
2017-01-01T12:00:00Z,0.007799999788403511
2017-01-01T13:00:00Z,0.010300000198185444
2017-01-01T14:00:00Z,0.012799999676644802
2017-01-01T15:00:00Z,0.015399999916553497
2017-01-01T16:00:00Z,0.015599999576807022
2017-01-01T17:00:00Z,0.01589999906718731
2017-01-01T18:00:00Z,0.016099998727440834
2017-01-01T19:00:00Z,0.011799999512732029
2017-01-01T20:00:00Z,0.007499999832361937
2017-01-01T21:00:00Z,0.0031999999191612005
2017-01-01T22:00:00Z,0.0030999998562037945
2017-01-01T23:00:00Z,0.003000000026077032
