dateTime,Wind_N
2017-01-01T00:00:00Z,8.34999942779541
2017-01-01T01:00:00Z,6.389999866485596
2017-01-01T02:00:00Z,4.429999828338623
2017-01-01T03:00:00Z,2.4700000286102295
2017-01-01T04:00:00Z,3.0799999237060547
2017-01-01T05:00:00Z,3.6999998092651367
2017-01-01T06:00:00Z,4.319999694824219
2017-01-01T07:00:00Z,3.5199999809265137
2017-01-01T08:00:00Z,2.7300000190734863
2017-01-01T09:00:00Z,1.9299999475479126
2017-01-01T10:00:00Z,1.059999942779541
2017-01-01T11:00:00Z,0.1899999976158142
2017-01-01T12:00:00Z,-0.6699999570846558
2017-01-01T13:00:00Z,-0.8399999737739563
2017-01-01T14:00:00Z,-1.0099999904632568
2017-01-01T15:00:00Z,-1.1799999475479126
2017-01-01T16:00:00Z,-1.5199999809265137
2017-01-01T17:00:00Z,-1.8700000047683716
2017-01-01T18:00:00Z,-2.2100000381469727
2017-01-01T19:00:00Z,-2.240000009536743
2017-01-01T20:00:00Z,-2.259999990463257
2017-01-01T21:00:00Z,-2.2899999618530273
2017-01-01T22:00:00Z,-1.4399999380111694
2017-01-01T23:00:00Z,-0.5899999737739563
