time,AirTemp,ShortWave,LongWave,RelHum,WindSpeed,Rain,Snow
2017-01-01T00:00:00Z,1.7999816894531477,0,313.4700012207031,80.42616149459054,9.40776755001911,0,0
2017-01-01T01:00:00Z,1.8999877929687727,0,313.4700012207031,82.07652103271312,8.926572189916078,0,0
2017-01-01T02:00:00Z,1.9899841308593977,0,313.4599914550781,83.75535114426624,8.443944537425622,0,0
2017-01-01T03:00:00Z,2.0899902343750227,0,316.72998046875,85.35265697355173,7.97295394241502,0,0
2017-01-01T04:00:00Z,2.1400085449218977,0,316.72998046875,86.03546636078799,7.200312457854722,0,0
2017-01-01T05:00:00Z,2.1899963378906477,0,316.7200012207031,86.71483705369738,6.528000960366334,0,0
2017-01-01T06:00:00Z,2.2399841308593977,0,309.2599792480469,87.37894391170133,5.990133407298073,0,0
2017-01-01T07:00:00Z,2.0599914550781477,0,309.2699890136719,87.77266820172834,5.848708931586534,0,0
2017-01-01T08:00:00Z,1.8900085449218977,0,309.2699890136719,88.09165867434052,5.763895912069115,0,0
2017-01-01T09:00:00Z,1.7099853515625227,0,269.04998779296875,88.46750554510122,5.7425165120852,0,0
2017-01-01T10:00:00Z,1.3599792480468977,0,269.05999755859375,88.26422838920595,5.106622929059986,0,0
2017-01-01T11:00:00Z,1.0199829101562727,0,269.0799865722656,87.92896523485635,4.53616587865959,0,0
2017-01-01T12:00:00Z,0.6700073242187727,0,256.75,87.57859621166322,4.047381850718882,0,0
2017-01-01T13:00:00Z,1.5100036621093977,59.452003479003906,256.7200012207031,81.7897214107603,4.212006685649696,0,0
2017-01-01T14:00:00Z,2.3599792480468977,159.74400329589844,256.69000244140625,76.34518736973918,4.470011028509811,0,0
2017-01-01T15:00:00Z,3.2000061035156477,249.72801208496097,278.9499816894531,71.34475996999,4.788412985497152,0,0
2017-01-01T16:00:00Z,3.0700012207031477,313.552001953125,278.9599914550781,70.17328614030612,4.488496464777105,0,0
2017-01-01T17:00:00Z,2.9399963378906477,348.3340148925781,278.9700012207031,68.98174579799927,4.249482113127407,0,0
2017-01-01T18:00:00Z,2.8099914550781477,356.4720153808594,254.80999755859375,67.7535811255287,4.0760397676768445,0,0
2017-01-01T19:00:00Z,2.4500061035156477,285.1240234375,254.8199920654297,71.71022901849653,3.30854958331141,0,0
2017-01-01T20:00:00Z,2.0899902343750227,190.94500732421875,254.8300018310547,75.82867617415349,2.5777508652979484,0,0
2017-01-01T21:00:00Z,1.7300048828125227,45.93600082397461,229.83999633789065,80.14191545651795,1.9039432498559679,0,0
2017-01-01T22:00:00Z,1.2300048828125227,0,229.86000061035156,78.4775739707783,1.7477414271368554,0,0
2017-01-01T23:00:00Z,0.7300048828125227,0,229.87998962402344,76.58363670774631,1.8404890632237088,0,0
