dateTime,Wind_E
2017-01-01 00:00:00,3.299999952316284
2017-01-01 01:00:00,3.259999990463257
2017-01-01 02:00:00,3.2100000381469727
2017-01-01 03:00:00,3.15999984741211
2017-01-01 04:00:00,3.5399999618530273
2017-01-01 05:00:00,3.919999837875366
2017-01-01 06:00:00,4.309999942779541
2017-01-01 07:00:00,4.569999694824219
2017-01-01 08:00:00,4.839999675750732
2017-01-01 09:00:00,5.109999656677246
2017-01-01 10:00:00,4.739999771118164
2017-01-01 11:00:00,4.380000114440918
2017-01-01 12:00:00,4.019999980926514
2017-01-01 13:00:00,4.210000038146973
2017-01-01 14:00:00,4.409999847412109
2017-01-01 15:00:00,4.599999904632568
2017-01-01 16:00:00,4.150000095367432
2017-01-01 17:00:00,3.6999998092651367
2017-01-01 18:00:00,3.25
2017-01-01 19:00:00,2.4800000190734863
2017-01-01 20:00:00,1.71999990940094
2017-01-01 21:00:00,0.949999988079071
2017-01-01 22:00:00,1.350000023841858
2017-01-01 23:00:00,1.75
