dateTime,PhiS
2017-01-01 00:00:00,49.88999938964844
2017-01-01 01:00:00,49.88999938964844
2017-01-01 02:00:00,49.89999771118164
2017-01-01 03:00:00,49.89999771118164
2017-01-01 04:00:00,49.97999954223633
2017-01-01 05:00:00,50.04999923706055
2017-01-01 06:00:00,50.12999725341797
2017-01-01 07:00:00,50.119998931884766
2017-01-01 08:00:00,50.11000061035156
2017-01-01 09:00:00,50.09000015258789
2017-01-01 10:00:00,50.07999801635742
2017-01-01 11:00:00,50.06999969482422
2017-01-01 12:00:00,50.05999755859375
2017-01-01 13:00:00,50.04999923706055
2017-01-01 14:00:00,50.03999710083008
2017-01-01 15:00:00,50.029998779296875
2017-01-01 16:00:00,50.09000015258789
2017-01-01 17:00:00,50.14999771118164
2017-01-01 18:00:00,50.20000076293945
2017-01-01 19:00:00,50.18000030517578
2017-01-01 20:00:00,50.14999771118164
2017-01-01 21:00:00,50.12999725341797
2017-01-01 22:00:00,50.11000061035156
2017-01-01 23:00:00,50.07999801635742
