dateTime,Wind_N
2017-01-01 00:00:00,8.809999465942383
2017-01-01 01:00:00,8.309999465942383
2017-01-01 02:00:00,7.809999942779541
2017-01-01 03:00:00,7.319999694824219
2017-01-01 04:00:00,6.269999980926514
2017-01-01 05:00:00,5.21999979019165
2017-01-01 06:00:00,4.159999847412109
2017-01-01 07:00:00,3.649999856948853
2017-01-01 08:00:00,3.129999876022339
2017-01-01 09:00:00,2.619999885559082
2017-01-01 10:00:00,1.899999976158142
2017-01-01 11:00:00,1.1799999475479126
2017-01-01 12:00:00,0.4699999988079071
2017-01-01 13:00:00,-0.12999999523162842
2017-01-01 14:00:00,-0.7299999594688416
2017-01-01 15:00:00,-1.329999923706055
2017-01-01 16:00:00,-1.709999918937683
2017-01-01 17:00:00,-2.0899999141693115
2017-01-01 18:00:00,-2.4600000381469727
2017-01-01 19:00:00,-2.190000057220459
2017-01-01 20:00:00,-1.919999957084656
2017-01-01 21:00:00,-1.649999976158142
2017-01-01 22:00:00,-1.1100000143051147
2017-01-01 23:00:00,-0.5699999928474426
