dateTime,Wind_N
2017-01-01 00:00:00,8.34999942779541
2017-01-01 01:00:00,6.389999866485596
2017-01-01 02:00:00,4.429999828338623
2017-01-01 03:00:00,2.4700000286102295
2017-01-01 04:00:00,3.0799999237060547
2017-01-01 05:00:00,3.6999998092651367
2017-01-01 06:00:00,4.319999694824219
2017-01-01 07:00:00,3.5199999809265137
2017-01-01 08:00:00,2.7300000190734863
2017-01-01 09:00:00,1.9299999475479128
2017-01-01 10:00:00,1.059999942779541
2017-01-01 11:00:00,0.1899999976158142
2017-01-01 12:00:00,-0.6699999570846558
2017-01-01 13:00:00,-0.8399999737739563
2017-01-01 14:00:00,-1.0099999904632568
2017-01-01 15:00:00,-1.1799999475479126
2017-01-01 16:00:00,-1.5199999809265137
2017-01-01 17:00:00,-1.8700000047683716
2017-01-01 18:00:00,-2.2100000381469727
2017-01-01 19:00:00,-2.240000009536743
2017-01-01 20:00:00,-2.259999990463257
2017-01-01 21:00:00,-2.2899999618530273
2017-01-01 22:00:00,-1.4399999380111694
2017-01-01 23:00:00,-0.5899999737739563
