time,flow,temp,salt
2017-01-02 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-01-03 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-01-04 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-01-05 00:00:00,  931.566830,    3.615264,    0.000002
2017-01-06 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-01-07 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-01-08 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-01-09 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-01-10 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-01-11 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-01-12 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-01-13 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-01-14 00:00:00, 1577.923812,    2.982102,    0.000002
2017-01-15 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-01-16 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-01-17 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-01-18 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-01-19 00:00:00, 5262.093788,    2.009910,    0.000004
2017-01-20 00:00:00,    0.000000,    2.002499,    0.000004
2017-01-21 00:00:00,    0.000000,    1.997326,    0.000004
2017-01-22 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-01-23 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-01-24 00:00:00,    0.000000,    1.885768,    0.000005
2017-01-25 00:00:00, 2806.708817,    1.796845,    0.000005
2017-01-26 00:00:00, 2633.345164,    1.576209,    0.000009
2017-01-27 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-01-28 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-01-29 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-01-30 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-01-31 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-01 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-02 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-03 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-04 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-05 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-06 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-07 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-08 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-09 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-10 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-11 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-12 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-13 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-14 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-15 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-16 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-17 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-18 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-19 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-20 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-21 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-22 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-23 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-24 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-25 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-26 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-02-27 00:00:00, 9962.945630,    1.224588,    0.000037
2017-02-28 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-01 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-02 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-03 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-04 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-05 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-06 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-07 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-08 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-09 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-10 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-11 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-12 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-13 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-14 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-15 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-16 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-17 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-18 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-19 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-20 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-21 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-22 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-23 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-24 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-25 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-26 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-27 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-28 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-29 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-03-30 00:00:00,  149.225097,    0.330364,    0.000040
2017-03-31 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-04-01 00:00:00,  143.959743,    0.430627,    0.000040
2017-04-02 00:00:00, 2506.120758,    0.602372,    0.000044
2017-04-03 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-04-04 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-04-05 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-04-06 00:00:00, 2782.793342,    1.031258,    0.000048
2017-04-07 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-04-08 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-04-09 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-04-10 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-04-11 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-04-12 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-04-13 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-04-14 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-04-15 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-04-16 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-04-17 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-04-18 00:00:00, 2039.871061,    2.857394,    0.000051
2017-04-19 00:00:00,    0.000000,    2.827700,    0.000051
2017-04-20 00:00:00,    0.000000,    2.885247,    0.000051
2017-04-21 00:00:00,  341.904397,    3.075412,    0.000051
2017-04-22 00:00:00,    0.000000,-9999.000000,-9999.000000
2017-04-23 00:00:00,    0.000000,-9999.000000,-9999.000000
