time,AirTemp,ShortWave,LongWave,RelHum,WindSpeed,Rain,Snow
2018-12-31 17:00:00,-19.429998779296852,0,181.5800018310547,78.83122676583872,6.130423786704804,0,0
2018-12-31 18:00:00,-20.039999389648415,0,181.5399932861328,79.26283343783442,6.150292611441527,0,0
2018-12-31 19:00:00,-20.649999999999977,0,181.5,79.50885503884774,6.212254022982517,0,0
2018-12-31 20:00:00,-21.26000061035154,0,171.13999938964844,79.60226382539018,6.323962363594377,0,0
2018-12-31 21:00:00,-21.70000305175779,0,171.1199951171875,80.97884439094481,5.424619544088316,0,0.002236799955368042
2018-12-31 22:00:00,-22.140005493164068,0,171.08999633789062,82.32762836776219,4.548428012577239,0,0
2018-12-31 23:00:00,-22.590002441406227,0,159.5800018310547,83.76100193709313,3.682078079233414,0,2.7839999645948397e-4
2019-01-01,-22.649999999999977,0,159.5699920654297,83.29933154957678,3.399911574391916,0,0
2019-01-01 01:00:00,-22.720007324218727,0,159.5699920654297,82.95043997814638,3.1999060677510753,0,2.735999822616576e-4
2019-01-01 02:00:00,-22.789999389648415,0,165.86000061035156,82.5613153037924,3.07402008080113,0,2.7839999645948397e-4
2019-01-01 03:00:00,-22.630010986328102,0,165.8699951171875,82.38806201106519,3.1900626332014745,0,3.024000003933905e-4
2019-01-01 04:00:00,-22.480001831054665,0,165.87998962402344,82.33334925180809,3.3143627305930403,0,5.567999929189681e-4
2019-01-01 05:00:00,-22.33000793457029,0,157.5699920654297,82.21387215604028,3.46528488179823,0,3.1199998408555966e-4
2019-01-01 06:00:00,-21.780004882812477,0,157.59999084472656,81.71444256858898,3.034880533270925,0,0
2019-01-01 07:00:00,-21.230001831054665,0,157.62998962402344,81.10157576444209,2.6132355076274782,0,0
2019-01-01 08:00:00,-20.679998779296852,51.60000228881836,195.3000030517578,80.38953591343915,2.2079175158967757,0,0
2019-01-01 09:00:00,-18.690008544921852,140.38400268554688,195.42999267578125,76.81934453644888,1.5277761600313389,0,0
2019-01-01 10:00:00,-16.700018310546852,209.32501220703125,195.55999755859375,72.64995095708274,2.169055009264833,0,0
2019-01-01 11:00:00,-14.709997558593727,337.7440185546875,169.26998901367188,68.17194565499892,3.4683135984407127,0,0
2019-01-01 12:00:00,-13.780004882812477,362.0030212402344,169.3300018310547,70.42456497706387,3.694888179884733,0,0
2019-01-01 13:00:00,-12.850012207031227,351.59600830078125,169.37998962402344,72.0147022183305,4.047381850718882,0,0
2019-01-01 14:00:00,-11.920019531249977,307.10400390625,149.25999450683594,73.08443467319944,4.496898835607456,0,0
2019-01-01 15:00:00,-13.880010986328102,215.8400115966797,149.16000366210938,76.26809920483053,4.261560715704843,0,0
2019-01-01 16:00:00,-15.840002441406227,95.46400451660156,149.05999755859375,78.6596389191672,4.0652919721909875,0,0
2019-01-01 17:00:00,-17.810003662109324,0,135.27999877929688,80.01257079840646,3.9222951444349516,0,0
2019-01-01 18:00:00,-18.060003662109324,0,135.25999450683594,73.82557905674857,3.9739777054154137,0,0
2019-01-01 19:00:00,-18.310003662109324,0,135.239990234375,67.33566158263758,4.018220806299872,0,0
2019-01-01 20:00:00,-18.560003662109324,0,133.59999084472656,60.514916070932735,4.063409867286972,0,0
2019-01-01 21:00:00,-18.480001831054665,0,133.59999084472656,58.37332964228192,4.143090629164605,0,0
2019-01-01 22:00:00,-18.399999999999977,0,133.59999084472656,56.22742466349441,4.264105744933422,0,0
2019-01-01 23:00:00,-18.31999816894529,0,131.4199981689453,54.12318192948303,4.4028399863228875,0,0
2019-01-02,-18.170004272460943,0,131.4199981689453,50.47515784583571,4.434410630150879,0,0
2019-01-02 01:00:00,-18.01000061035154,0,131.4199981689453,46.83104830514692,4.456332285534646,0,0
2019-01-02 02:00:00,-17.850012207031227,0,131.8199920654297,43.29586847297605,4.487905883093752,0,0
2019-01-02 03:00:00,-17.730001831054665,0,131.8300018310547,40.493659802451745,4.460605310795076,0,0
2019-01-02 04:00:00,-17.610006713867165,0,131.8300018310547,37.7143803878011,4.430360967652583,0,0
2019-01-02 05:00:00,-17.480001831054665,0,134.72999572753906,34.95056624899408,4.413671805532605,0,0
2019-01-02 06:00:00,-17.160009765624977,0,134.75,36.7423640801998,4.382693054638737,0,0
2019-01-02 07:00:00,-16.829992675781227,0,134.75999450683594,38.396537743507395,4.401828935353169,0,0
2019-01-02 08:00:00,-16.500006103515602,71.12000274658203,141.6999969482422,39.92878561382575,4.477700276562877,0,0
2019-01-02 09:00:00,-13.600012207031227,194.00001525878903,141.83999633789062,39.66232656687905,4.6072659044413,0,0
2019-01-02 10:00:00,-10.709997558593727,289.5040283203125,141.97000122070312,38.029218886874396,4.780846910726156,0,0
2019-01-02 11:00:00,-7.810003662109352,372.0130310058594,155.739990234375,35.615287166540334,5.013790803874987,0,0
2019-01-02 12:00:00,-7.000006103515602,399.0370178222656,155.7899932861328,37.06390630075585,4.4367666433805395,0,0
2019-01-02 13:00:00,-6.190008544921852,387.9100036621094,155.8300018310547,38.221898245429095,3.873977291114471,0,0
2019-01-02 14:00:00,-5.380010986328102,313.7760009765625,160.91000366210938,39.12186560042311,3.3326415620900733,0,0
2019-01-02 15:00:00,-7.370001220703102,221.1840057373047,160.80999755859375,40.18504309023624,3.42163705179994,0,0
2019-01-02 16:00:00,-9.359991455078102,98.936004638671875,160.6999969482422,40.682018560688675,3.5821919023636046,0,0
2019-01-02 17:00:00,-11.350012207031227,0,148.0399932861328,40.3691007391453,3.805259327616855,0,0
2019-01-02 18:00:00,-11.440008544921852,0,148.02999877929688,35.562250790916686,3.9989123240940376,0,0
2019-01-02 19:00:00,-11.530004882812477,0,148.00999450683594,30.68223176417734,4.213359632716812,0,0
2019-01-02 20:00:00,-11.620001220703102,0,151.64999389648438,25.72430513569064,4.445593201550228,0,0
2019-01-02 21:00:00,-11.750006103515602,0,151.64999389648438,27.154022152982527,4.43482791340985,0,0
2019-01-02 22:00:00,-11.880010986328102,0,151.63999938964844,28.628795368255137,4.416174901738916,0,0
2019-01-02 23:00:00,-12.010015869140602,0,153.1199951171875,30.131384255123766,4.405144777917286,0,0
2019-01-03,-12.100012207031227,0,153.1199951171875,32.22532985174437,4.441824011455678,0,0
2019-01-03 01:00:00,-12.190008544921852,0,153.1199951171875,34.36540086268394,4.4809039924295115,0,0
2019-01-03 02:00:00,-12.280004882812477,0,155.9499969482422,36.5201981651108,4.522322482562639,0,0
2019-01-03 03:00:00,-12.040014648437477,0,155.97000122070312,39.027315316344996,4.812369368486924,0,0
2019-01-03 04:00:00,-11.799993896484352,0,155.97999572753906,41.45061478130462,5.106162982568089,0,0
2019-01-03 05:00:00,-11.560003662109352,0,161.1999969482422,43.74876195448444,5.419372518470892,0,0
2019-01-03 06:00:00,-11.170019531249977,0,161.22999572753906,46.35421940102518,5.422785324356573,0,0
2019-01-03 07:00:00,-10.780004882812477,0,161.25999450683594,48.74670179277587,5.431362477778553,0,0
2019-01-03 08:00:00,-10.399999999999977,68.944000244140625,171.44000244140625,51.01484687730678,5.434822955121223,0,0
2019-01-03 09:00:00,-7.980017089843727,188.416015625,171.5699920654297,50.706314240184874,6.447425786449527,0,0
2019-01-03 10:00:00,-5.560003662109352,281.3590087890625,171.70999145507812,49.23200565759592,7.460730243460496,0,0
2019-01-03 11:00:00,-3.1400207519531023,357.9150085449219,190.61000061035156,47.02496997390561,8.47936278553695,0,0
2019-01-03 12:00:00,-2.4200195312499773,384.1580200195313,190.6599884033203,47.95060591752269,8.595539127570802,0,0
2019-01-03 13:00:00,-1.7099975585937273,373.7970275878906,190.70999145507812,48.709640638642284,8.730435270281951,0,0
2019-01-03 14:00:00,-1.0000061035156023,306.51202392578125,189.45999145507812,49.28834558346992,8.869295126099892,0,0
2019-01-03 15:00:00,-2.5700134277343523,216.7360076904297,189.3699951171875,51.19203318382142,7.65277701973455,0,0
2019-01-03 16:00:00,-4.140020751953102,98.04000091552734,189.27999877929688,52.91950244308151,6.436536275779944,0,0
2019-01-03 17:00:00,-5.720007324218727,0,176.59999084472656,54.43646670723444,5.225294385839513,0,0
2019-01-03 18:00:00,-5.880010986328102,0,176.58999633789062,51.9908069627323,5.424702594673892,0,0
2019-01-03 19:00:00,-6.049993896484352,0,176.5699920654297,49.525548594409564,5.614133823365336,0,0
2019-01-03 20:00:00,-6.220007324218727,0,177.61000061035156,46.97442794985754,5.819965314139087,0,0
2019-01-03 21:00:00,-6.380010986328102,0,177.59999084472656,47.806360810306,5.736967597909825,0,0
